x1,x2,x3,x4,size
0.0227(.0183),0.0136(.0105),0.0455(.1390),0.0941(.1774),500
0.0136(.0107),0.0102(.0067),0.0295(.0835),0.0219(.0284),1000
0.0158(.0130),0.0093(.0076),0.0352(.1198),0.0706(.1448),500
0.0094(.0077),0.0071(.0048),0.0210(.0614),0.0152(.0203),1000
0.2309(.1309),0.1995(.1259),0.2313(.1562),0.2112(.1691),500
0.2186(.1051),0.1983(.0945),0.2025(.1110),0.2052(.1131),1000
