x1,x2,x3,x4,x5
-0.035(.0070),-0.0392(.0086),-0.0357(.0088),-0.0296(.0074),-0.0297(.0068)
-0.0877(.0056),-0.0926(.0068),-0.0991(.0069),-0.1097(.0075),-0.1152(.0073)
-0.0547(.0082),-0.0445(.0088),-0.0424(.0083),-0.0427(.0094),-0.0432(.0091)
0.0413(.0035),0.0404(.0038),0.0421(.0042),0.0406(.0046),0.0423(.0046)
0.9122(.0293),0.9069(.0378),0.9152(.0437),0.9392(.0288),0.9436(.0231)
-0.3472(.0417),-0.3393(.0453),-0.2967(.0475),-0.2126(.0519),-0.1965(.0442)
-0.0292(.0682),-0.0583(.0867),-0.073(.0843),-0.1447(.0662),-0.1767(.0551)
-0.0703(.0240),-0.0672(.0276),-0.0853(.0216),-0.0855(.0255),-0.0646(.0265)
