x1,x2,x3,x4,size
0.0284(.0210),0.0133(.0103),0.0346(.1060),0.1228(.1831),500
0.0197(.0139),0.0085(.0066),0.0173(.0665),0.0684(.1265),1000
0.0195(.0147),0.0092(.0072),0.0257(.0893),0.0906(.1524),500
0.0136(.0097),0.0058(.0046),0.0122(.0489),0.0487(.0943),1000
0.2470(.1403),0.1819(.0992),0.1801(.1097),0.2017(.1780),500
0.1814(.0960),0.1306(.0475),0.1307(.0567),0.1395(.0920),1000
