α1,α2,var_α1,var_α2,γ1,γ2,var_γ1,var_γ2,θ1,θ2,var_θ1,var_θ2,β1,β2,var_β1,var_β2
1.0,-1.9921154503049407,0.0,0.013184087179678923,-0.00026910087831413576,1.0851984536002353,0.6295381487718192,0.274549277212329,1.9943276926158577,1.0032532363241753,0.0017512043904685435,0.001452361577190382,0.3612756664880875,-0.4274407286233604,0.016261021007226605,0.007549171955991456
1.0,-1.9829624509973953,0.0,0.013444782692680552,1.8714807880968496,1.1217282116870342,0.4928492414067585,0.27540053844022266,1.9893553671982482,1.005380595322347,0.0021741779714804367,0.0014307896906624706,0.38810905404554014,-0.4477241681757535,0.021018262971155575,0.006168556151813575
1.0,-1.9930399486634798,0.0,0.02322087661138058,1.0809330348398911,0.006405785669885394,0.6604502927475288,0.2523557547186354,1.9933737315171163,1.0040114837724092,0.0027535149297768183,0.00262754700772484,0.5135664133892621,-0.5065265177282076,0.03311421044661749,0.003163424380762257
1.0,-2.003213065206973,0.0,0.018302702645784853,1.0519918016206882,2.107144354124876,0.7745019238082215,0.3955637621877121,1.9972549886120001,0.9998248272284895,0.002627461984755272,0.0017950091882316737,0.2600834591491767,-0.41027823846174216,0.02298383740151647,0.008249369283683779
