,g,alpha2,gamma1,gamma2
4,"[0.5, 0.0]",-2.0061(0.0020),0.5344(0.0036),0.0104(0.0020)
2,"[0.5, 1.0]",-2.0027(0.0024),0.5334(0.0048),1.0544(0.0024)
0,"[0.0, 0.5]",-1.9978(0.0020),-0.003(0.0032),0.5300(0.0020)
1,"[1.0, 0.5]",-1.9882(0.0016),1.0376(0.0044),0.5264(0.0016)
3,"[0.5, 0.5]",-2.0079(0.0020),0.5224(0.0048),0.5274(0.0020)
