,g,alpha2,gamma1,gamma2
2,"[0.5, 0.0]",-2.0212(0.0516),0.4888(0.1084),0.0162(0.0516)
1,"[0.5, 1.0]",-1.9807(0.0484),0.5314(0.0952),1.0830(0.0484)
4,"[0.0, 0.5]",-1.9353(0.0556),0.0780(0.1520),0.5318(0.0556)
0,"[1.0, 0.5]",-2.0029(0.0368),1.0806(0.0760),0.5706(0.0368)
3,"[0.5, 0.5]",-2.0401(0.0636),0.5104(0.0980),0.5178(0.0636)
