,g,alpha2,gamma1,gamma2
4,"[0.5, 0.0]",-2.0094(0.0112),0.5116(0.0376),0.0144(0.0112)
2,"[0.5, 1.0]",-1.9875(0.0216),0.4926(0.0272),1.0596(0.0216)
1,"[0.0, 0.5]",-2.0126(0.0176),0.0008(0.0412),0.5032(0.0176)
0,"[1.0, 0.5]",-1.9891(0.0348),1.0146(0.0408),0.5142(0.0348)
3,"[0.5, 0.5]",-2.0253(0.0164),0.5386(0.0316),0.5430(0.0164)
