,g,alpha2,gamma1,gamma2
2,"[0.5, 0.0]",-1.9996(0.0064),0.5402(0.0132),-0.0066(0.0064)
0,"[0.5, 1.0]",-2.0007(0.0116),0.5326(0.0120),1.0828(0.0116)
1,"[0.0, 0.5]",-1.9869(0.0072),0.0070(0.0128),0.5418(0.0072)
3,"[1.0, 0.5]",-1.9911(0.0080),1.0616(0.0180),0.5464(0.0080)
4,"[0.5, 0.5]",-1.988(0.0080),0.5290(0.0152),0.5374(0.0080)
