,g,alpha2,gamma1,gamma2
3,"[0.5, 0.0]",-2.0119(0.0212),0.5514(0.0644),-0.0014(0.0212)
1,"[0.5, 1.0]",-1.9842(0.0244),0.5452(0.0572),1.0864(0.0244)
4,"[0.0, 0.5]",-2.0092(0.0192),-0.0062(0.0412),0.5690(0.0192)
0,"[1.0, 0.5]",-2.0031(0.0268),1.0978(0.0468),0.5378(0.0268)
2,"[0.5, 0.5]",-2.0092(0.0272),0.5562(0.0628),0.5406(0.0272)
