,g,alpha2,gamma1,gamma2
4,"[0.5, 0.0]",-2.0081(0.0084),0.5022(0.0272),0.0026(0.0084)
0,"[0.5, 1.0]",-2.0013(0.0116),0.5266(0.0216),1.0528(0.0116)
1,"[0.0, 0.5]",-2.0002(0.0084),-0.0084(0.0188),0.5300(0.0084)
2,"[1.0, 0.5]",-2.002(0.0092),1.0620(0.0220),0.5458(0.0092)
3,"[0.5, 0.5]",-1.9913(0.0096),0.5216(0.0240),0.5380(0.0096)
