x1,x2,x3,x4
0.0259(.0194),0.0125(.0101),0.0564(.1624),0.1171(.2001)
0.0184(.0122),0.0075(.0063),0.0122(.0200),0.0568(.1021)
0.0178(.0137),0.0086(.0071),0.0436(.1379),0.0878(.1649)
0.0127(.0085),0.0051(.0044),0.0085(.0140),0.0402(.0754)
0.0580(.0339),0.0312(.0148),0.1263(.1897),0.1158(.1687)
0.0409(.0186),0.0187(.0085),0.1732(.7734),0.0628(.0861)
0.1348(.0603),0.0814(.0415),0.0917(.1334),0.0978(.1338)
0.0895(.0410),0.0688(.0294),0.0721(.0268),0.0710(.0277)
