x1,x2,x3,x4
0.2663(.1756),0.2150(.1916),0.2784(.2055),0.3480(.2219)
0.1632(.1079),0.1239(.1330),0.2159(.2305),0.2369(.2142)
0.1381(.1602),0.0984(.1249),0.1077(.1359),0.1598(.1682)
0.0787(.1027),0.0771(.1514),0.0940(.1618),0.1146(.1382)
