x1,x2,x3,x4,size
0.0216(.0150),0.0148(.0106),0.0713(.1857),0.0958(.1824),500
0.0149(.0098),0.0082(.0064),0.0170(.0302),0.0287(.0433),1000
0.0783(.0136),0.0822(.0131),0.0834(.0226),0.0786(.0278),500
0.0607(.0129),0.0641(.0099),0.0677(.0113),0.0639(.0342),1000
0.0150(.0108),0.0103(.0076),0.0560(.1588),0.0725(.1512),500
0.0104(.0071),0.0057(.0046),0.0119(.0215),0.0201(.0309),1000
0.2054(.1097),0.2113(.1143),0.1963(.1998),0.2184(.1520),500
0.2186(.1157),0.2023(.0898),0.1812(.0833),0.1964(.0817),1000
