x1,x2,x3,x4
0.0237(.0173),0.0137(.0099),0.0487(.1652),0.0846(.1818)
0.0183(.0127),0.0083(.0061),0.0344(.1269),0.0298(.0528)
0.0166(.0124),0.0095(.0071),0.0403(.1510),0.0648(.1529)
0.0127(.0091),0.0058(.0044),0.0263(.1042),0.0210(.0381)
0.0579(.0299),0.0363(.0187),0.3103(.6378),0.1861(.2128)
0.0469(.0253),0.0284(.0147),0.2349(.7792),0.1528(.2369)
0.1737(.0865),0.1191(.0561),0.1546(.1609),0.1595(.2131)
0.1538(.0805),0.1031(.0472),0.1159(.1154),0.1008(.0626)
