x1,x2,x3,x4,size
0.2743(.1885),0.2413(.2155),0.2568(.2070),0.3335(.2034),100
0.2130(.2075),0.1679(.2072),0.1560(.1243),0.2197(.1856),200
0.1483(.1724),0.1186(.1752),0.1246(.1595),0.1414(.1225),400
0.1194(.1944),0.0695(.1130),0.0692(.1116),0.1603(.2371),800
