1: [1.1052278845652403, -0.9106014135857415]

10: [1.1732099452365952, -0.8212175628834965]

93: [0.8027581308329729, -1.0897711776110175]

37: [1.4809609568342004, -0.40260216048635833]

45: [0.9825678083216349, -0.7071583186614766]

28: [0.8955513568147704, -0.6061779772711289]

61: [1.394864291383111, -0.33513735924998367]

53: [0.9576479475228123, -0.8618277823984322]

69: [1.0765248910838787, -0.6233430720468695]

85: [0.9258612303899577, -0.5692684266882451]

77: [1.046227593604904, -0.7046456782128224]

19: [1.2092229616965526, -0.37059479546810736]

2: [0.9958622914609802, -0.8693277913436288]

38: [1.1364595863302664, -1.039465149412108]

11: [0.8762736534051855, -1.0012222630863588]

46: [1.351482350725325, -0.4094981341044924]

94: [0.8813673188880318, -0.7496108586242047]

86: [1.0004990282685706, -0.7050679387201538]

62: [0.9581491849487765, -0.8375215384236141]

54: [1.4424930590439846, -0.4596804804800785]

29: [0.9854213628259999, -0.6953459689143747]

70: [1.1136087458205775, -0.6836347641262914]

78: [1.3634570595777484, -0.5760048506272566]

20: [0.7374833676740211, -0.6857964679309592]

3: [1.0170796226618708, -0.5426208422204103]

39: [1.2458208081728803, -0.4737373208683673]

47: [1.0734320171778404, -0.7649379824989131]

12: [0.8029074338967074, -0.6981668761875128]

95: [1.0413145372586785, -0.8020839313418966]

87: [1.0553830002419449, -0.486834194411076]

30: [0.9446219551390724, -0.7035817121886343]

71: [1.2982466360638072, -0.5761127426789081]

55: [1.2216115069816729, -0.4796467676027955]

63: [1.1981814171538383, -0.6619379781787131]

21: [1.1106621737756242, -0.6087412309494767]

79: [1.0880444575902688, -0.3814475063341524]

4: [1.2006194888277644, -0.8255745840597467]

48: [1.1317091824462655, -0.8084352518455906]

40: [1.0334694115823704, -0.687165769086736]

13: [1.038208749582301, -0.5958060035602503]

96: [1.1359208968723338, -0.39645565997541077]

88: [1.3001135162662625, -0.5383288138182744]

31: [1.3168796721684026, -0.5574664671962988]

56: [0.9222468657916125, -0.8992475981538794]

72: [1.0779802903701996, -0.8156905051995547]

22: [0.9139448066621746, -0.6373691205405387]

64: [1.055343193663253, -0.7603913678670425]

80: [0.9943179783336913, -0.7891616026136522]

5: [0.7771747038926526, -0.5008460878107497]

49: [0.855125558682447, -0.4966535832411163]

41: [1.1822726953647649, -0.37230261595611897]

14: [1.0592280382154415, -0.737072198261207]

89: [0.9288161874046478, -0.6949080797490579]

97: [0.81705288280759, -0.7793256857755715]

32: [0.8455302422403839, -0.7563266293240274]

73: [1.0219725461394176, -0.6860853609023981]

57: [1.0553314134852056, -0.5864615342672459]

23: [1.033667786310085, -0.5776310599363849]

65: [1.0526866092608158, -0.8963824642724948]

6: [1.0368488159987705, -0.7434675023486157]

81: [0.9312556566004597, -0.6573901316299697]

50: [1.0431440927040727, -0.8649112372944476]

42: [1.3275104524287695, -0.5445684610192764]

15: [1.1538114597484375, -0.8195232191266696]

90: [1.1061394884631712, -0.6329656429118036]

98: [1.007794035984284, -0.7678608612047572]

33: [1.3031687271489583, -0.5513960776209539]

74: [1.3195853669839406, -0.7011117158835245]

7: [1.1914815594551593, -0.8119987761544478]

58: [0.8653135190520748, -0.8468668335890377]

24: [1.2778040244019986, -0.32152431103228124]

66: [1.1185408200699123, -0.9208313672450155]

82: [0.811395750682907, -0.6594278312223953]

51: [0.9998607601806377, -0.6905743133770667]

43: [0.614084392811051, -0.8594300895400844]

91: [1.1294284003867903, -0.8854599128421347]

8: [1.116851009975706, -0.685384740853694]

16: [0.9106955418414797, -0.744281406482452]

99: [1.4035505187895736, -0.3543666481726526]

34: [1.081645064792444, -1.0838562167060255]

75: [1.1190823137926367, -0.5749061906500628]

25: [0.8787070399784817, -0.7026282660886132]

59: [0.9188493013383564, -0.8681520708577748]

67: [1.124364550220926, -0.6132547689533794]

52: [0.904331624501127, -0.8909450453798832]

83: [1.0539342474833546, -0.7936751680079259]

9: [1.0054679222351426, -0.760336840666989]

92: [0.9334834650995083, -0.7650413567356222]

44: [1.0885146831712655, -0.9021379640482113]

17: [1.0262777532962313, -0.7957442413459712]

26: [0.7710250572319793, -1.0372028770359285]

100: [1.2002039759985887, -0.4672215048079564]

35: [1.150462536474974, -0.705363497789755]

76: [0.9183516910158781, -0.8578854971484817]

60: [1.2430455547471855, -0.5718804235843896]

68: [0.9667249691552154, -0.8031266636067035]

84: [1.040915498605732, -0.9611648479645005]

18: [0.9563943178542706, -0.8852201287518322]

27: [1.3438001739239507, -0.721037353477811]

36: [0.9823940423587171, -1.1421700734024984]

