x1,x2,x3,x4
0.0256(.0202),0.0135(.0115),0.0451(.1216),0.1495(.2238)
0.0166(.0111),0.0085(.0062),0.0287(.1047),0.0368(.0619)
0.0179(.0144),0.0094(.0082),0.0347(.1088),0.1153(.1927)
0.0116(.0079),0.0059(.0044),0.0218(.0882),0.0261(.0443)
0.0546(.0262),0.0298(.0168),0.4369(.6091),0.2377(.2994)
0.0423(.0223),0.0321(.0534),0.1941(.4301),0.0936(.0860)
0.1511(.0688),0.1169(.0649),0.1322(.1067),0.1610(.1919)
0.1214(.0486),0.1065(.0400),0.1262(.1568),0.0924(.0371)
