x1,x2,x3,x4,size
0.0273(.0206),0.0136(.0098),0.0868(.2123),0.0949(.1439),500
0.0180(.0133),0.0080(.0064),0.0299(.1228),0.0459(.0698),1000
0.1308(.0207),0.1251(.0129),0.1332(.0350),0.1443(.0341),500
0.1316(.0163),0.1286(.0123),0.1306(.0144),0.1361(.0204),1000
0.0188(.0143),0.0094(.0068),0.0692(.1868),0.0673(.1062),500
0.0124(.0093),0.0055(.0045),0.0230(.1028),0.0320(.0496),1000
0.2468(.1429),0.1709(.0970),0.2062(.1660),0.1679(.0855),500
0.1699(.1031),0.1262(.0378),0.1365(.0767),0.1220(.0393),1000
